NPI,NPPES Provider Last Name,NPPES Provider First Name,NPPES Provider ZIP Code,NPPES Provider State,Specialty Description,Total Claim Count,Distinct Opioid Count,Opioid Claim Count,Percent Opioid Claims
1952310666,A'BODJEDI,ENENGE,069022594,CT,Psychiatry,4504,0,0,0%
1780778795,AAKER,JESSICA,068503852,CT,Certified Nurse Midwife,18,0,0,0%
1336297894,AARON,STUART,06880,CT,Ophthalmology,465,0,0,0%
1659331940,AARONSON,ROBERT,064052821,CT,Gastroenterology,522,0,0,0%
1417991456,AARONSON,BETH,068106606,CT,Physical Medicine and Rehabilitation,325,3,40,12.31%
1285925305,AARONSON,NICOLE,065103220,CT,Student in an Organized Health Care Education/Training Program,85,0,0,0%
1124292966,ABARIENTOS,CRISPIN,064573648,CT,Rheumatology,1152,10,278,24.13%
1063572014,ABASTILLAS,ANNA LIZA,06489,CT,Nurse Practitioner,1598,3,63,3.94%
1568795821,ABASTILLAS,RENATO,064791565,CT,Nurse Practitioner,179,3,62,34.64%
1861489585,ABAY,ABERA,063602160,CT,Gastroenterology,1161,0,0,0%
1275579732,ABBATIELLO,CAROL,061051208,CT,Emergency Medicine,220,1,37,16.82%
1386612026,ABBED,KHALID,065103206,CT,Neurosurgery,69,1,16,23.19%
1609857473,ABBOSH,JASMINE,06119,CT,Allergy/Immunology,262,0,0,0%
1518965433,ABBOTT,LINCOLN,060300001,CT,Emergency Medicine,48,1,11,22.92%
1619901378,ABBOTT,KATHLEEN,061121513,CT,Physical Medicine and Rehabilitation,366,5,113,30.87%
1083658629,ABBOTT,JAY,067592515,CT,Specialist,29,0,0,0%
1023130705,ABBOTT,STEVEN,06268,CT,Dentist,41,1,11,26.83%
1811299159,ABDEL-HAFEZ,OSAMA,061028000,CT,Student in an Organized Health Care Education/Training Program,296,0,0,0%
1467649558,ABDELHAFIZ,GADA,063204700,CT,Internal Medicine,11,0,0,0%
1316383979,ABDELHAKIM,MOHAMED,060321956,CT,Student in an Organized Health Care Education/Training Program,31,0,0,0%
1275971905,ABDELSAYED,CHRISTINE,061051207,CT,Student in an Organized Health Care Education/Training Program,81,0,0,0%
1801050208,ABDELWAHAB ELHAMAHMI,DINA,065103220,CT,Internal Medicine,105,0,0,0%
1790840809,ABDER,ROXANNE,06611,CT,Obstetrics/Gynecology,94,0,0,0%
1881919637,ABDI,TSION,065103220,CT,Student in an Organized Health Care Education/Training Program,14,0,0,0%
1124272950,ABDI,THURAYA,060321909,CT,Nurse Practitioner,46,0,0,0%
1962630905,ABDOUN,EZZAT,060300001,CT,Student in an Organized Health Care Education/Training Program,34,0,0,0%
1861606782,ABDULLA,LEITH,063602624,CT,Internal Medicine,923,0,0,0%
1265553119,ABEL,BRUCE,061072227,CT,Dentist,27,0,0,0%
1285737155,ABELES,ARYEH,064504350,CT,Rheumatology,1902,4,172,9.04%
1497751556,ABELES,MICHA,064504350,CT,Rheumatology,4569,11,638,13.96%
1548211519,ABELLA,GABRIEL,062541807,CT,Physical Medicine and Rehabilitation,602,5,182,30.23%
1205122041,ABID,HINA,065103220,CT,Student in an Organized Health Care Education/Training Program,671,0,0,0%
1518014539,ABIDOR,GERARD,066051116,CT,Internal Medicine,16,0,0,0%
1134134315,ABIJO,ATINUKE,065164336,CT,Internal Medicine,288,0,0,0%
1891727152,ABLOW,KAREN,06443,CT,Oral Surgery (dentists only),28,0,0,0%
1881615730,ABOULIAN,JILL,064101254,CT,Physician Assistant,974,1,21,2.16%
1316197783,ABRAHAM,JOSSIE,068245340,CT,Podiatry,96,1,12,12.5%
1396041539,ABRAHAM,GINEESHA,065103220,CT,Nurse Practitioner,267,0,0,0%
1194011213,ABRAHAM,HAZEL MAE,060321956,CT,Student in an Organized Health Care Education/Training Program,173,0,0,0%
1023044252,ABRAHAM,RICHARD,060192401,CT,Internal Medicine,4090,3,48,1.17%
1760657647,ABRAHAM,BINNY,065103220,CT,Internal Medicine,666,0,0,0%
1962766998,ABRAHAMIAN,H.,06477,CT,Anesthesiology,28,0,0,0%
1326022302,ABRAHAMS,IRWIN,065102715,CT,Ophthalmology,46,0,0,0%
1508886227,ABRAHAMS,WAYNE,067215503,CT,Emergency Medicine,251,1,52,20.72%
1487698635,ABRAHAMSEN,THOMAS,068802438,CT,Podiatry,125,0,0,0%
1780940080,ABRAHAMSON,INGRID,06040,CT,Physician Assistant,189,2,47,24.87%
1770744286,ABRAMOV,MICHAEL,060300001,CT,Diagnostic Radiology,117,0,0,0%
1407864887,ABRAMOVICH,IRENE,060402672,CT,Psychiatry,2282,0,0,0%
1568647949,ABRAMOVICH,NATALLIA,068503815,CT,Internal Medicine,34,0,0,0%
1174728604,ABRAMS,KAREN,068802731,CT,Specialist,75,0,0,0%
1073675922,ABRAMS,LINUS,068315351,CT,Psychiatry,320,0,0,0%
1073507851,ABRAMS,MARTIN,068106148,CT,Hematology/Oncology,782,3,56,7.16%
1265641450,ABRAMS,ALAN,068515721,CT,Dentist,13,0,0,0%
1437303831,ABRAMSON,CAILYN,060132630,CT,Dentist,67,0,0,0%
1962761569,ABRANTES,JESSICA,061113102,CT,Student in an Organized Health Care Education/Training Program,266,0,0,0%
1144652348,ABREU,ELIZABETH,06804,CT,Physician Assistant,32,0,0,0%
1003996240,ABREU,JOSEPH,06790,CT,Cardiology,4740,0,0,0%
1538276134,ABREU-LANFRANCO,ODALIZ,06511,CT,Internal Medicine,215,0,0,0%
1083693022,ABRIOLA,KENNETH,060332176,CT,Internal Medicine,2675,1,14,0.52%
1194713495,ABU-KHALAF,MAYSA,065191369,CT,Medical Oncology,101,0,0,0%
1386679322,ABUNASRA,NAZEEH,060742373,CT,Oral Surgery (dentists only),393,3,158,40.2%
1699903401,ABUNNAJA,SALIM,067061253,CT,Student in an Organized Health Care Education/Training Program,37,0,0,0%
1063454247,ACCOMANDO,ANGELO,065123003,CT,Internal Medicine,3570,3,101,2.83%
1891876876,ACCORSINI,ELAINE,068504034,CT,Physician Assistant,72,0,0,0%
1093991077,ACEVEDO,YADIRA,061082293,CT,Family Practice,2454,5,99,4.03%
1437131760,ACHARYA,AMI,06511,CT,Obstetrics/Gynecology,154,0,0,0%
1033422662,ACHARYA,SAMPADA,068106099,CT,Student in an Organized Health Care Education/Training Program,257,1,12,4.67%
1700081353,ACKAH,ERIC,065103220,CT,Hospitalist,14,0,0,0%
1831331602,ACKERLY,TARA,068104087,CT,Nurse Practitioner,1134,0,0,0%
1285708826,ACKERMAN,SIGURD,068403812,CT,Psychiatry & Neurology,15,0,0,0%
1396060604,ACKERMAN,JASON,067082613,CT,Internal Medicine,262,0,0,0%
1487614160,ACKERMAN,PETER,068106802,CT,Physician Assistant,21,0,0,0%
1114928074,ACKLEY,MICHAEL,064103448,CT,Podiatry,104,0,0,0%
1023102092,ACOSTA,RODRIGO,069022594,CT,Family Practice,8954,4,102,1.14%
1013236371,ADABALA,MADHURI,06850,CT,Internal Medicine,147,0,0,0%
1104928340,ADACHI,MARI,06360,CT,Pulmonary Disease,1707,2,24,1.41%
1386704682,ADADE,ANDREWS,069022808,CT,Pediatric Medicine,208,0,0,0%
1396877981,ADAMIDIS,THEODORE,061112373,CT,Dentist,33,0,0,0%
1770620767,ADAMS,ARTHUR,064842804,CT,Dentist,33,0,0,0%
1770588592,ADAMS,NANCY,060300001,CT,Nephrology,282,0,0,0%
1710269725,ADAMS,KAITLIN,067904643,CT,Nurse Practitioner,1619,1,19,1.17%
1477748341,ADAMS,SARAH,067083346,CT,Physician Assistant,96,3,51,53.13%
1457678138,ADAMS,THERESA,063204700,CT,Emergency Medicine,67,0,0,0%
1497026066,ADAMS,BERESHITH,06105,CT,Nurse Practitioner,20,0,0,0%
1841271640,ADAMS,ROBERT,064608903,CT,Dentist,27,0,0,0%
1851666192,ADAMS,CATHERINE,065103220,CT,Student in an Organized Health Care Education/Training Program,231,0,0,0%
1730522061,ADDAGATLA,KAMAL,069023628,CT,Student in an Organized Health Care Education/Training Program,24,0,0,0%
1942557079,ADDO-TABIRI,NANA,065114405,CT,Student in an Organized Health Care Education/Training Program,146,1,11,7.53%
1447447008,ADE,SUSAN,06492,CT,Certified Clinical Nurse Specialist,731,1,14,1.92%
1508865585,ADE,JUDE,060301930,CT,Physician Assistant,38,0,0,0%
1801044649,ADEBAMIRO,ADEDOTUN,065103220,CT,Internal Medicine,32,0,0,0%
1720261407,ADEBOYE,OLUMUYIWA,066064201,CT,Hospice and Palliative Care,44,0,0,0%
1780974873,ADEGOKE,OLUWAKEMI,069023628,CT,Student in an Organized Health Care Education/Training Program,46,0,0,0%
1902248412,ADEINAT,BASHAR,060300001,CT,Student in an Organized Health Care Education/Training Program,21,0,0,0%
1073871372,ADEKOLU,OLUROTIMI,060301234,CT,Student in an Organized Health Care Education/Training Program,119,0,0,0%
1942595855,ADEKOLU,EVELYN,065103220,CT,Hospitalist,318,0,0,0%
1245266352,ADELMAN,RON,065191369,CT,Ophthalmology,230,0,0,0%
1861436511,ADELMANN,CHARLES,068511080,CT,Gastroenterology,848,0,0,0%
1417956962,ADELSBERG,BERNARD,065183248,CT,Allergy/Immunology,1293,0,0,0%
1861498685,ADETOLA,ADEDAYO,065151153,CT,Internal Medicine,12473,7,293,2.35%
1528120094,ADEYINKA,SUSAN,060103920,CT,Pediatric Medicine,14,0,0,0%
1740431295,ADIGOPULA,SANTHI,064603162,CT,Cardiology,3664,0,0,0%
1801936448,ADIMANDO,ANDREA,065115614,CT,Nurse Practitioner,11,0,0,0%
1851629448,ADKINSON,TISA,065191124,CT,Psychiatry,114,0,0,0%
1639344120,ADLAKHA,ASHISH,06457,CT,Neurology,579,0,0,0%
1508894676,ADLER,MARY,060822961,CT,Internal Medicine,1426,0,0,0%
1851301709,ADLER,JACK,060104078,CT,Internal Medicine,7244,8,203,2.8%
1235148438,ADLER,SHARON,06010,CT,Obstetrics/Gynecology,447,0,0,0%
1225327638,ADLER,JEFFREY,065103220,CT,Student in an Organized Health Care Education/Training Program,518,0,0,0%
1225461221,ADLER,ALYSON,067021418,CT,Nurse Practitioner,70,0,0,0%
1245278886,ADLER-KLEIN,DEBRA,068104005,CT,Internal Medicine,106,0,0,0%
1659337145,ADRIAN,GEORGE,063404107,CT,Optometry,54,0,0,0%
1790782365,ADSUAR,NATALIE,064103153,CT,Obstetrics/Gynecology,110,0,0,0%
1598969990,ADVANI,KAVITA,067061221,CT,Internal Medicine,145,0,0,0%
1881836799,ADVANI,ANISHA,065103220,CT,Internal Medicine,23,0,0,0%
1316960594,AFERZON,JOSEPH,06051,CT,Neurosurgery,455,8,309,67.91%
1114956380,AFERZON,MARK,064846416,CT,Otolaryngology,130,0,0,0%
1407808645,AFFANY,ABDELMONIM,060012097,CT,Psychiatry,210,0,0,0%
1164517033,AFFENITO,JAMES,060105848,CT,Oral Surgery (dentists only),141,2,49,34.75%
1992847644,AFOLALU,ABISOLA,065163774,CT,Internal Medicine,11135,7,147,1.32%
1548442726,AFOLALU,BAYODE,064773649,CT,Internal Medicine,1096,0,0,0%
1992980536,AFONSO,FERNANDO,068106099,CT,Internal Medicine,168,0,0,0%
1659300416,AFRICANO,KATHLEEN,068204522,CT,Nurse Practitioner,1580,0,0,0%
1346400686,AFRIDI,WAFFIYAH,065183508,CT,Student in an Organized Health Care Education/Training Program,149,0,0,0%
1750401071,AFSHAR,ALIREZA,06470,CT,Family Practice,1100,0,0,0%
1588897045,AFTAB,UNBER,064181326,CT,Internal Medicine,32,0,0,0%
1760770234,AFZAL,ATIF,060522016,CT,Internal Medicine,32,0,0,0%
1922197557,AGABABAEV,ERVIN,068541915,CT,Dentist,161,1,15,9.32%
1386993814,AGARIN,TAGHOGHO,060404131,CT,Psychiatry,524,0,0,0%
1326226044,AGARWAL,ARUN,060521396,CT,Cardiology,2181,0,0,0%
1245673284,AGBOR-ETANG,BRIAN,068304608,CT,Student in an Organized Health Care Education/Training Program,73,0,0,0%
1427041987,AGGARWAL,ALKA,068106099,CT,Internal Medicine,105,0,0,0%
1154558401,AGGARWAL,DIVYA,064181326,CT,Student in an Organized Health Care Education/Training Program,115,0,0,0%
